venda_id,cliente_id,produto_id,quantidade,data_venda,nome_x,categoria,preco_unitario,nome_y,idade,genero,cidade
1,173,44,9,2024-04-16,Produto 44,Alimentos,203.11,Alana das Neves,30,FEMININO,Rio de Janeiro
2,61,38,7,2024-12-20,Produto 38,Higiene,371.78,Luigi Vieira,25,MASCULINO,Belém
3,47,20,8,2024-01-05,Produto 20,Alimentos,120.45,Bruno Santos,56,FEMININO,Manaus
4,149,23,9,2024-05-06,Produto 23,Limpeza,440.78,Dr. Thales Cavalcanti,56,FEMININO,Manaus
5,80,45,6,2023-05-17,Produto 45,Limpeza,241.47,Carolina Gomes,53,MASCULINO,Belém
6,118,16,4,2024-01-02,Produto 16,Alimentos,201.34,Ana Julia Nogueira,22,MASCULINO,Belém
7,164,50,1,2023-07-03,Produto 50,Alimentos,489.06,Joaquim da Cruz,47,FEMININO,Belém
8,147,42,8,2024-08-10,Produto 42,Higiene,342.11,Leandro Teixeira,43,MASCULINO,Rio de Janeiro
9,20,8,7,2023-10-14,Produto 8,Higiene,354.39,João Vitor da Rosa,41,MASCULINO,Rio de Janeiro
10,185,50,2,2024-04-16,Produto 50,Alimentos,489.06,Lucas Gabriel Nascimento,61,FEMININO,Belém
11,146,21,8,2024-01-10,Produto 21,Alimentos,292.75,Joana Pereira,22,MASCULINO,São Paulo
12,47,1,5,2024-10-15,Produto 1,Eletrônicos,61.16,Bruno Santos,56,FEMININO,Manaus
13,49,8,7,2024-06-20,Produto 8,Higiene,354.39,João Miguel Nogueira,21,MASCULINO,Rio de Janeiro
14,14,29,4,2024-05-25,Produto 29,Limpeza,243.43,Joaquim da Costa,53,FEMININO,Manaus
15,143,32,5,2024-08-01,Produto 32,Alimentos,128.12,Otávio Freitas,31,MASCULINO,São Paulo
16,159,38,8,2023-09-07,Produto 38,Higiene,371.78,Ian Silveira,56,MASCULINO,São Paulo
17,1,5,1,2024-05-24,Produto 5,Bebidas,32.66,Sr. Emanuel Costela,56,FEMININO,Rio de Janeiro
18,117,47,1,2024-09-21,Produto 47,Eletrônicos,266.54,Anthony Cunha,50,FEMININO,Belém
19,54,22,4,2023-03-14,Produto 22,Alimentos,432.25,Maria Luiza Fernandes,43,FEMININO,São Paulo
20,118,47,3,2023-10-09,Produto 47,Eletrônicos,266.54,Ana Julia Nogueira,22,MASCULINO,Belém
21,3,34,2,2023-12-26,Produto 34,Limpeza,220.05,Cauê Ferreira,46,MASCULINO,São Paulo
22,144,1,3,2023-01-10,Produto 1,Eletrônicos,61.16,Clarice Gomes,20,FEMININO,Fortaleza
23,185,26,1,2023-07-30,Produto 26,Higiene,297.98,Lucas Gabriel Nascimento,61,FEMININO,Belém
24,12,43,1,2023-06-01,Produto 43,Limpeza,122.57,Elisa da Mota,28,MASCULINO,Fortaleza
25,74,10,6,2023-01-05,Produto 10,Higiene,345.57,Maria Vitória Jesus,46,MASCULINO,São Paulo
26,16,30,5,2023-07-14,Produto 30,Limpeza,192.1,Yasmin Jesus,41,FEMININO,Fortaleza
27,200,50,8,2023-10-10,Produto 50,Alimentos,489.06,André Costa,56,FEMININO,Manaus
28,102,18,2,2024-04-08,Produto 18,Alimentos,77.57,Sarah Monteiro,18,MASCULINO,Belém
29,152,17,4,2023-04-23,Produto 17,Eletrônicos,446.49,Pedro Henrique Vieira,32,FEMININO,Fortaleza
30,156,26,8,2023-09-28,Produto 26,Higiene,297.98,Vitor Hugo Lopes,30,FEMININO,Rio de Janeiro
31,117,8,6,2023-06-12,Produto 8,Higiene,354.39,Anthony Cunha,50,FEMININO,Belém
32,8,47,1,2024-04-04,Produto 47,Eletrônicos,266.54,Mirella Barros,56,MASCULINO,Belém
33,122,40,4,2023-04-15,Produto 40,Eletrônicos,412.28,Rafaela da Rosa,45,FEMININO,São Paulo
34,92,49,1,2024-11-23,Produto 49,Eletrônicos,402.04,André Aragão,35,FEMININO,Belém
35,164,12,2,2024-07-09,Produto 12,Bebidas,434.1,Joaquim da Cruz,47,FEMININO,Belém
36,90,27,5,2023-10-09,Produto 27,Higiene,178.36,Diego Martins,33,MASCULINO,Rio de Janeiro
37,136,8,8,2024-11-17,Produto 8,Higiene,354.39,Isabella da Costa,39,FEMININO,Fortaleza
38,186,25,8,2023-06-11,Produto 25,Eletrônicos,454.31,Sr. Vicente Pires,61,MASCULINO,São Paulo
39,60,46,3,2023-12-17,Produto 46,Higiene,46.03,Catarina Melo,61,MASCULINO,Fortaleza
40,178,4,4,2024-03-09,Produto 4,Limpeza,497.99,Marcos Vinicius da Costa,45,FEMININO,São Paulo
41,28,33,6,2023-05-20,Produto 33,Higiene,168.48,Maria Castro,39,FEMININO,Fortaleza
42,101,1,3,2024-04-15,Produto 1,Eletrônicos,61.16,Dr. Augusto Aragão,62,FEMININO,São Paulo
43,41,19,2,2023-05-12,Produto 19,Higiene,259.1,Natália da Cunha,20,MASCULINO,São Paulo
44,192,31,6,2023-03-28,Produto 31,Eletrônicos,354.02,Ana Luiza Silva,56,MASCULINO,Fortaleza
45,155,16,5,2024-11-18,Produto 16,Alimentos,201.34,Dr. Carlos Eduardo Cavalcanti,59,FEMININO,Fortaleza
46,191,14,5,2023-07-02,Produto 14,Eletrônicos,215.92,Emilly Duarte,42,FEMININO,Manaus
47,145,48,5,2024-01-03,Produto 48,Limpeza,220.99,Alana Rodrigues,18,FEMININO,São Paulo
48,161,5,5,2023-05-09,Produto 5,Bebidas,32.66,Stephany Moreira,69,FEMININO,Fortaleza
49,157,41,3,2023-09-03,Produto 41,Eletrônicos,373.38,Lavínia Gonçalves,68,MASCULINO,Fortaleza
50,141,26,7,2024-08-23,Produto 26,Higiene,297.98,Vitor Hugo da Rosa,54,FEMININO,Belém
51,46,28,6,2024-07-31,Produto 28,Alimentos,355.55,Evelyn Peixoto,26,MASCULINO,Manaus
52,35,2,4,2024-10-31,Produto 2,Eletrônicos,465.81,Yago Dias,33,MASCULINO,São Paulo
53,134,50,2,2024-01-13,Produto 50,Alimentos,489.06,Dr. Guilherme Moreira,61,MASCULINO,São Paulo
54,82,6,9,2023-05-29,Produto 6,Eletrônicos,369.83,Dr. Henrique Rodrigues,48,FEMININO,Belém
55,115,9,1,2024-03-08,Produto 9,Alimentos,484.48,Sr. Leonardo Jesus,52,FEMININO,Belém
56,197,33,4,2024-09-19,Produto 33,Higiene,168.48,Carolina Cunha,30,FEMININO,Rio de Janeiro
57,47,41,1,2024-12-26,Produto 41,Eletrônicos,373.38,Bruno Santos,56,FEMININO,Manaus
58,153,25,6,2024-04-13,Produto 25,Eletrônicos,454.31,Carolina da Paz,32,FEMININO,São Paulo
59,194,48,4,2024-03-21,Produto 48,Limpeza,220.99,Daniela Silva,18,FEMININO,Belém
60,10,13,5,2024-04-25,Produto 13,Alimentos,420.05,Marina Moraes,40,FEMININO,Belém
61,56,9,5,2023-10-21,Produto 9,Alimentos,484.48,Marcela Lima,37,FEMININO,Belém
62,30,13,9,2023-05-23,Produto 13,Alimentos,420.05,Bárbara Vieira,42,MASCULINO,Fortaleza
63,109,31,1,2023-09-07,Produto 31,Eletrônicos,354.02,Felipe Silveira,25,MASCULINO,São Paulo
64,5,41,2,2023-10-29,Produto 41,Eletrônicos,373.38,Thomas Alves,60,FEMININO,Manaus
65,119,11,6,2023-01-25,Produto 11,Limpeza,419.3,Luna Pires,59,FEMININO,Belém
66,33,4,5,2023-03-11,Produto 4,Limpeza,497.99,Gabriela Araújo,59,FEMININO,Manaus
67,118,34,7,2024-09-16,Produto 34,Limpeza,220.05,Ana Julia Nogueira,22,MASCULINO,Belém
